37.1320 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026CF38B3CD0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026CF38B3C70>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000026CF38B3AF0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000026CF3CF5220>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=1, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
43.8309 	EXP 	Created hor_line_precue = Line(__class__=<class 'psychopy.visual.line.Line'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([0, 0, 0]), fillColorSpace='rgb', fillRGB=array([0, 0, 0]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=5.0, name='hor_line_precue', opacity=0.5, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
43.8311 	EXP 	window1: mouseVisible = False
43.8347 	EXP 	Created ver_line_precue = Line(__class__=<class 'psychopy.visual.line.Line'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([0, 0, 0]), fillColorSpace='rgb', fillRGB=array([0, 0, 0]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=5.0, name='ver_line_precue', opacity=0.5, ori=90.0, pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
43.8349 	EXP 	window1: mouseVisible = False
43.8401 	EXP 	Created image_mi = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image_mi', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
43.8403 	EXP 	window1: mouseVisible = False
43.8425 	EXP 	Created text_pause = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_pause', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
43.8426 	EXP 	window1: mouseVisible = False
43.8522 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Run Finished', units='height', win=Window(...), wrapWidth=1)
43.8523 	EXP 	window1: mouseVisible = False
43.8598 	EXP 	Created text_post_run = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_post_run', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='End\n', units='height', win=Window(...), wrapWidth=1)
0.0398 	EXP 	text_pre_run: autoDraw = True
17.2173 	DATA 	Mouse: Left button down, pos=(360,469)
17.3101 	DATA 	Mouse:  Left button up, pos=(360,469)
19.0713 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
19.0717 	EXP 	New trial (rep=0, index=0): None
19.0748 	DATA 	Keypress: space
19.0920 	EXP 	text_pre_run: autoDraw = False
19.0920 	EXP 	text_2: autoDraw = True
22.0941 	EXP 	Imported classes.xlsx as conditions, 4 conditions, 2 params
22.0947 	EXP 	Created sequence: fullRandom, trialTypes=4, nReps=5, seed=None
22.0950 	EXP 	New trial (rep=0, index=0): {'pic_name': 'pics/left_hand.JPG', 'class_mi': 'left_hand'}
22.1117 	EXP 	text_2: autoDraw = False
22.1117 	EXP 	hor_line_precue: autoDraw = True
22.1117 	EXP 	ver_line_precue: autoDraw = True
24.1137 	EXP 	hor_line_precue: autoDraw = False
24.1137 	EXP 	ver_line_precue: autoDraw = False
24.1137 	EXP 	hor_line_precue: autoDraw = False
24.1137 	EXP 	ver_line_precue: autoDraw = False
24.1137 	EXP 	image_mi: image = 'pics/left_hand.JPG'
24.1137 	EXP 	image_mi: autoDraw = True
28.6181 	EXP 	image_mi: autoDraw = False
28.6181 	EXP 	image_mi: autoDraw = False
28.6181 	EXP 	text_pause: autoDraw = True
31.1049 	EXP 	New trial (rep=0, index=1): {'pic_name': 'pics/mental_singing.JPG', 'class_mi': 'mental_singing'}
31.1206 	EXP 	text_pause: autoDraw = False
31.1206 	EXP 	text_pause: autoDraw = False
31.1206 	EXP 	hor_line_precue: autoDraw = True
31.1206 	EXP 	ver_line_precue: autoDraw = True
33.1226 	EXP 	hor_line_precue: autoDraw = False
33.1226 	EXP 	ver_line_precue: autoDraw = False
33.1226 	EXP 	hor_line_precue: autoDraw = False
33.1226 	EXP 	ver_line_precue: autoDraw = False
33.1226 	EXP 	image_mi: image = 'pics/mental_singing.JPG'
33.1226 	EXP 	image_mi: autoDraw = True
37.6271 	EXP 	image_mi: autoDraw = False
37.6271 	EXP 	image_mi: autoDraw = False
37.6271 	EXP 	text_pause: autoDraw = True
40.1138 	EXP 	New trial (rep=0, index=2): {'pic_name': 'pics/right_foot.JPG', 'class_mi': 'right_foot'}
40.1296 	EXP 	text_pause: autoDraw = False
40.1296 	EXP 	text_pause: autoDraw = False
40.1296 	EXP 	hor_line_precue: autoDraw = True
40.1296 	EXP 	ver_line_precue: autoDraw = True
42.1316 	EXP 	hor_line_precue: autoDraw = False
42.1316 	EXP 	ver_line_precue: autoDraw = False
42.1316 	EXP 	hor_line_precue: autoDraw = False
42.1316 	EXP 	ver_line_precue: autoDraw = False
42.1316 	EXP 	image_mi: image = 'pics/right_foot.JPG'
42.1316 	EXP 	image_mi: autoDraw = True
46.6361 	EXP 	image_mi: autoDraw = False
46.6361 	EXP 	image_mi: autoDraw = False
46.6361 	EXP 	text_pause: autoDraw = True
49.1226 	EXP 	New trial (rep=0, index=3): {'pic_name': 'pics/right_foot.JPG', 'class_mi': 'right_foot'}
49.1384 	EXP 	text_pause: autoDraw = False
49.1384 	EXP 	text_pause: autoDraw = False
49.1384 	EXP 	hor_line_precue: autoDraw = True
49.1384 	EXP 	ver_line_precue: autoDraw = True
51.1405 	EXP 	hor_line_precue: autoDraw = False
51.1405 	EXP 	ver_line_precue: autoDraw = False
51.1405 	EXP 	hor_line_precue: autoDraw = False
51.1405 	EXP 	ver_line_precue: autoDraw = False
51.1405 	EXP 	image_mi: image = 'pics/right_foot.JPG'
51.1405 	EXP 	image_mi: autoDraw = True
55.6450 	EXP 	image_mi: autoDraw = False
55.6450 	EXP 	image_mi: autoDraw = False
55.6450 	EXP 	text_pause: autoDraw = True
58.1317 	EXP 	New trial (rep=1, index=0): {'pic_name': 'pics/left_hand.JPG', 'class_mi': 'left_hand'}
58.1475 	EXP 	text_pause: autoDraw = False
58.1475 	EXP 	text_pause: autoDraw = False
58.1475 	EXP 	hor_line_precue: autoDraw = True
58.1475 	EXP 	ver_line_precue: autoDraw = True
60.1495 	EXP 	hor_line_precue: autoDraw = False
60.1495 	EXP 	ver_line_precue: autoDraw = False
60.1495 	EXP 	hor_line_precue: autoDraw = False
60.1495 	EXP 	ver_line_precue: autoDraw = False
60.1495 	EXP 	image_mi: image = 'pics/left_hand.JPG'
60.1495 	EXP 	image_mi: autoDraw = True
64.6540 	EXP 	image_mi: autoDraw = False
64.6540 	EXP 	image_mi: autoDraw = False
64.6540 	EXP 	text_pause: autoDraw = True
67.1407 	EXP 	New trial (rep=1, index=1): {'pic_name': 'pics/mental_singing.JPG', 'class_mi': 'mental_singing'}
67.1564 	EXP 	text_pause: autoDraw = False
67.1564 	EXP 	text_pause: autoDraw = False
67.1564 	EXP 	hor_line_precue: autoDraw = True
67.1564 	EXP 	ver_line_precue: autoDraw = True
69.1585 	EXP 	hor_line_precue: autoDraw = False
69.1585 	EXP 	ver_line_precue: autoDraw = False
69.1585 	EXP 	hor_line_precue: autoDraw = False
69.1585 	EXP 	ver_line_precue: autoDraw = False
69.1585 	EXP 	image_mi: image = 'pics/mental_singing.JPG'
69.1585 	EXP 	image_mi: autoDraw = True
73.6629 	EXP 	image_mi: autoDraw = False
73.6629 	EXP 	image_mi: autoDraw = False
73.6629 	EXP 	text_pause: autoDraw = True
76.1497 	EXP 	New trial (rep=1, index=2): {'pic_name': 'pics/right_foot.JPG', 'class_mi': 'right_foot'}
76.1654 	EXP 	text_pause: autoDraw = False
76.1654 	EXP 	text_pause: autoDraw = False
76.1654 	EXP 	hor_line_precue: autoDraw = True
76.1654 	EXP 	ver_line_precue: autoDraw = True
78.1674 	EXP 	hor_line_precue: autoDraw = False
78.1674 	EXP 	ver_line_precue: autoDraw = False
78.1674 	EXP 	hor_line_precue: autoDraw = False
78.1674 	EXP 	ver_line_precue: autoDraw = False
78.1674 	EXP 	image_mi: image = 'pics/right_foot.JPG'
78.1674 	EXP 	image_mi: autoDraw = True
82.6718 	EXP 	image_mi: autoDraw = False
82.6718 	EXP 	image_mi: autoDraw = False
82.6718 	EXP 	text_pause: autoDraw = True
85.1585 	EXP 	New trial (rep=1, index=3): {'pic_name': 'pics/right_foot.JPG', 'class_mi': 'right_foot'}
85.1743 	EXP 	text_pause: autoDraw = False
85.1743 	EXP 	text_pause: autoDraw = False
85.1743 	EXP 	hor_line_precue: autoDraw = True
85.1743 	EXP 	ver_line_precue: autoDraw = True
87.1763 	EXP 	hor_line_precue: autoDraw = False
87.1763 	EXP 	ver_line_precue: autoDraw = False
87.1763 	EXP 	hor_line_precue: autoDraw = False
87.1763 	EXP 	ver_line_precue: autoDraw = False
87.1763 	EXP 	image_mi: image = 'pics/right_foot.JPG'
87.1763 	EXP 	image_mi: autoDraw = True
91.6809 	EXP 	image_mi: autoDraw = False
91.6809 	EXP 	image_mi: autoDraw = False
91.6809 	EXP 	text_pause: autoDraw = True
94.1676 	EXP 	New trial (rep=2, index=0): {'pic_name': 'pics/left_hand.JPG', 'class_mi': 'left_hand'}
94.1833 	EXP 	text_pause: autoDraw = False
94.1833 	EXP 	text_pause: autoDraw = False
94.1833 	EXP 	hor_line_precue: autoDraw = True
94.1833 	EXP 	ver_line_precue: autoDraw = True
96.1853 	EXP 	hor_line_precue: autoDraw = False
96.1853 	EXP 	ver_line_precue: autoDraw = False
96.1853 	EXP 	hor_line_precue: autoDraw = False
96.1853 	EXP 	ver_line_precue: autoDraw = False
96.1853 	EXP 	image_mi: image = 'pics/left_hand.JPG'
96.1853 	EXP 	image_mi: autoDraw = True
100.6898 	EXP 	image_mi: autoDraw = False
100.6898 	EXP 	image_mi: autoDraw = False
100.6898 	EXP 	text_pause: autoDraw = True
103.1765 	EXP 	New trial (rep=2, index=1): {'pic_name': 'pics/left_foot.JPG', 'class_mi': 'left_foot'}
103.1922 	EXP 	text_pause: autoDraw = False
103.1922 	EXP 	text_pause: autoDraw = False
103.1922 	EXP 	hor_line_precue: autoDraw = True
103.1922 	EXP 	ver_line_precue: autoDraw = True
105.1942 	EXP 	hor_line_precue: autoDraw = False
105.1942 	EXP 	ver_line_precue: autoDraw = False
105.1942 	EXP 	hor_line_precue: autoDraw = False
105.1942 	EXP 	ver_line_precue: autoDraw = False
105.1942 	EXP 	image_mi: image = 'pics/left_foot.JPG'
105.1942 	EXP 	image_mi: autoDraw = True
109.6987 	EXP 	image_mi: autoDraw = False
109.6987 	EXP 	image_mi: autoDraw = False
109.6987 	EXP 	text_pause: autoDraw = True
112.1855 	EXP 	New trial (rep=2, index=2): {'pic_name': 'pics/left_hand.JPG', 'class_mi': 'left_hand'}
112.2012 	EXP 	text_pause: autoDraw = False
112.2012 	EXP 	text_pause: autoDraw = False
112.2012 	EXP 	hor_line_precue: autoDraw = True
112.2012 	EXP 	ver_line_precue: autoDraw = True
114.2031 	EXP 	hor_line_precue: autoDraw = False
114.2031 	EXP 	ver_line_precue: autoDraw = False
114.2031 	EXP 	hor_line_precue: autoDraw = False
114.2031 	EXP 	ver_line_precue: autoDraw = False
114.2031 	EXP 	image_mi: image = 'pics/left_hand.JPG'
114.2031 	EXP 	image_mi: autoDraw = True
118.7077 	EXP 	image_mi: autoDraw = False
118.7077 	EXP 	image_mi: autoDraw = False
118.7077 	EXP 	text_pause: autoDraw = True
121.1943 	EXP 	New trial (rep=2, index=3): {'pic_name': 'pics/left_foot.JPG', 'class_mi': 'left_foot'}
121.2102 	EXP 	text_pause: autoDraw = False
121.2102 	EXP 	text_pause: autoDraw = False
121.2102 	EXP 	hor_line_precue: autoDraw = True
121.2102 	EXP 	ver_line_precue: autoDraw = True
123.2121 	EXP 	hor_line_precue: autoDraw = False
123.2121 	EXP 	ver_line_precue: autoDraw = False
123.2121 	EXP 	hor_line_precue: autoDraw = False
123.2121 	EXP 	ver_line_precue: autoDraw = False
123.2121 	EXP 	image_mi: image = 'pics/left_foot.JPG'
123.2121 	EXP 	image_mi: autoDraw = True
127.7166 	EXP 	image_mi: autoDraw = False
127.7166 	EXP 	image_mi: autoDraw = False
127.7166 	EXP 	text_pause: autoDraw = True
130.2037 	EXP 	New trial (rep=3, index=0): {'pic_name': 'pics/left_foot.JPG', 'class_mi': 'left_foot'}
130.2191 	EXP 	text_pause: autoDraw = False
130.2191 	EXP 	text_pause: autoDraw = False
130.2191 	EXP 	hor_line_precue: autoDraw = True
130.2191 	EXP 	ver_line_precue: autoDraw = True
132.2211 	EXP 	hor_line_precue: autoDraw = False
132.2211 	EXP 	ver_line_precue: autoDraw = False
132.2211 	EXP 	hor_line_precue: autoDraw = False
132.2211 	EXP 	ver_line_precue: autoDraw = False
132.2211 	EXP 	image_mi: image = 'pics/left_foot.JPG'
132.2211 	EXP 	image_mi: autoDraw = True
136.7256 	EXP 	image_mi: autoDraw = False
136.7256 	EXP 	image_mi: autoDraw = False
136.7256 	EXP 	text_pause: autoDraw = True
139.2123 	EXP 	New trial (rep=3, index=1): {'pic_name': 'pics/mental_singing.JPG', 'class_mi': 'mental_singing'}
139.2281 	EXP 	text_pause: autoDraw = False
139.2281 	EXP 	text_pause: autoDraw = False
139.2281 	EXP 	hor_line_precue: autoDraw = True
139.2281 	EXP 	ver_line_precue: autoDraw = True
141.2300 	EXP 	hor_line_precue: autoDraw = False
141.2300 	EXP 	ver_line_precue: autoDraw = False
141.2300 	EXP 	hor_line_precue: autoDraw = False
141.2300 	EXP 	ver_line_precue: autoDraw = False
141.2300 	EXP 	image_mi: image = 'pics/mental_singing.JPG'
141.2300 	EXP 	image_mi: autoDraw = True
145.7345 	EXP 	image_mi: autoDraw = False
145.7345 	EXP 	image_mi: autoDraw = False
145.7345 	EXP 	text_pause: autoDraw = True
148.2212 	EXP 	New trial (rep=3, index=2): {'pic_name': 'pics/mental_singing.JPG', 'class_mi': 'mental_singing'}
148.2370 	EXP 	text_pause: autoDraw = False
148.2370 	EXP 	text_pause: autoDraw = False
148.2370 	EXP 	hor_line_precue: autoDraw = True
148.2370 	EXP 	ver_line_precue: autoDraw = True
150.2390 	EXP 	hor_line_precue: autoDraw = False
150.2390 	EXP 	ver_line_precue: autoDraw = False
150.2390 	EXP 	hor_line_precue: autoDraw = False
150.2390 	EXP 	ver_line_precue: autoDraw = False
150.2390 	EXP 	image_mi: image = 'pics/mental_singing.JPG'
150.2390 	EXP 	image_mi: autoDraw = True
154.7435 	EXP 	image_mi: autoDraw = False
154.7435 	EXP 	image_mi: autoDraw = False
154.7435 	EXP 	text_pause: autoDraw = True
157.2302 	EXP 	New trial (rep=3, index=3): {'pic_name': 'pics/mental_singing.JPG', 'class_mi': 'mental_singing'}
157.2460 	EXP 	text_pause: autoDraw = False
157.2460 	EXP 	text_pause: autoDraw = False
157.2460 	EXP 	hor_line_precue: autoDraw = True
157.2460 	EXP 	ver_line_precue: autoDraw = True
159.2479 	EXP 	hor_line_precue: autoDraw = False
159.2479 	EXP 	ver_line_precue: autoDraw = False
159.2479 	EXP 	hor_line_precue: autoDraw = False
159.2479 	EXP 	ver_line_precue: autoDraw = False
159.2479 	EXP 	image_mi: image = 'pics/mental_singing.JPG'
159.2479 	EXP 	image_mi: autoDraw = True
163.7522 	EXP 	image_mi: autoDraw = False
163.7522 	EXP 	image_mi: autoDraw = False
163.7522 	EXP 	text_pause: autoDraw = True
166.2392 	EXP 	New trial (rep=4, index=0): {'pic_name': 'pics/left_foot.JPG', 'class_mi': 'left_foot'}
166.2549 	EXP 	text_pause: autoDraw = False
166.2549 	EXP 	text_pause: autoDraw = False
166.2549 	EXP 	hor_line_precue: autoDraw = True
166.2549 	EXP 	ver_line_precue: autoDraw = True
168.2569 	EXP 	hor_line_precue: autoDraw = False
168.2569 	EXP 	ver_line_precue: autoDraw = False
168.2569 	EXP 	hor_line_precue: autoDraw = False
168.2569 	EXP 	ver_line_precue: autoDraw = False
168.2569 	EXP 	image_mi: image = 'pics/left_foot.JPG'
168.2569 	EXP 	image_mi: autoDraw = True
172.7614 	EXP 	image_mi: autoDraw = False
172.7614 	EXP 	image_mi: autoDraw = False
172.7614 	EXP 	text_pause: autoDraw = True
175.2481 	EXP 	New trial (rep=4, index=1): {'pic_name': 'pics/left_hand.JPG', 'class_mi': 'left_hand'}
175.2639 	EXP 	text_pause: autoDraw = False
175.2639 	EXP 	text_pause: autoDraw = False
175.2639 	EXP 	hor_line_precue: autoDraw = True
175.2639 	EXP 	ver_line_precue: autoDraw = True
177.2660 	EXP 	hor_line_precue: autoDraw = False
177.2660 	EXP 	ver_line_precue: autoDraw = False
177.2660 	EXP 	hor_line_precue: autoDraw = False
177.2660 	EXP 	ver_line_precue: autoDraw = False
177.2660 	EXP 	image_mi: image = 'pics/left_hand.JPG'
177.2660 	EXP 	image_mi: autoDraw = True
181.7703 	EXP 	image_mi: autoDraw = False
181.7703 	EXP 	image_mi: autoDraw = False
181.7703 	EXP 	text_pause: autoDraw = True
184.2570 	EXP 	New trial (rep=4, index=2): {'pic_name': 'pics/right_foot.JPG', 'class_mi': 'right_foot'}
184.2728 	EXP 	text_pause: autoDraw = False
184.2728 	EXP 	text_pause: autoDraw = False
184.2728 	EXP 	hor_line_precue: autoDraw = True
184.2728 	EXP 	ver_line_precue: autoDraw = True
186.2748 	EXP 	hor_line_precue: autoDraw = False
186.2748 	EXP 	ver_line_precue: autoDraw = False
186.2748 	EXP 	hor_line_precue: autoDraw = False
186.2748 	EXP 	ver_line_precue: autoDraw = False
186.2748 	EXP 	image_mi: image = 'pics/right_foot.JPG'
186.2748 	EXP 	image_mi: autoDraw = True
190.7794 	EXP 	image_mi: autoDraw = False
190.7794 	EXP 	image_mi: autoDraw = False
190.7794 	EXP 	text_pause: autoDraw = True
193.2661 	EXP 	New trial (rep=4, index=3): {'pic_name': 'pics/left_foot.JPG', 'class_mi': 'left_foot'}
193.2818 	EXP 	text_pause: autoDraw = False
193.2818 	EXP 	text_pause: autoDraw = False
193.2818 	EXP 	hor_line_precue: autoDraw = True
193.2818 	EXP 	ver_line_precue: autoDraw = True
195.2838 	EXP 	hor_line_precue: autoDraw = False
195.2838 	EXP 	ver_line_precue: autoDraw = False
195.2838 	EXP 	hor_line_precue: autoDraw = False
195.2838 	EXP 	ver_line_precue: autoDraw = False
195.2838 	EXP 	image_mi: image = 'pics/left_foot.JPG'
195.2838 	EXP 	image_mi: autoDraw = True
199.7882 	EXP 	image_mi: autoDraw = False
199.7882 	EXP 	image_mi: autoDraw = False
199.7882 	EXP 	text_pause: autoDraw = True
202.2907 	EXP 	text_pause: autoDraw = False
202.2907 	EXP 	text_pause: autoDraw = False
202.2907 	EXP 	text: autoDraw = True
324.7315 	DATA 	Mouse: Left button down, pos=(147,526)
324.8481 	DATA 	Mouse:  Left button up, pos=(147,526)
331.7713 	EXP 	New trial (rep=1, index=0): None
331.7732 	DATA 	Keypress: space
331.7860 	EXP 	text: autoDraw = False
331.7860 	EXP 	text_2: autoDraw = True
334.7798 	EXP 	Imported classes.xlsx as conditions, 4 conditions, 2 params
334.7804 	EXP 	Created sequence: fullRandom, trialTypes=4, nReps=5, seed=None
334.7807 	EXP 	New trial (rep=0, index=0): {'pic_name': 'pics/mental_singing.JPG', 'class_mi': 'mental_singing'}
334.7889 	EXP 	text_2: autoDraw = False
334.7889 	EXP 	hor_line_precue: autoDraw = True
334.7889 	EXP 	ver_line_precue: autoDraw = True
336.7910 	EXP 	hor_line_precue: autoDraw = False
336.7910 	EXP 	ver_line_precue: autoDraw = False
336.7910 	EXP 	hor_line_precue: autoDraw = False
336.7910 	EXP 	ver_line_precue: autoDraw = False
336.7910 	EXP 	image_mi: image = 'pics/mental_singing.JPG'
336.7910 	EXP 	image_mi: autoDraw = True
341.2955 	EXP 	image_mi: autoDraw = False
341.2955 	EXP 	image_mi: autoDraw = False
341.2955 	EXP 	text_pause: autoDraw = True
343.7822 	EXP 	New trial (rep=0, index=1): {'pic_name': 'pics/left_hand.JPG', 'class_mi': 'left_hand'}
343.7979 	EXP 	text_pause: autoDraw = False
343.7979 	EXP 	text_pause: autoDraw = False
343.7979 	EXP 	hor_line_precue: autoDraw = True
343.7979 	EXP 	ver_line_precue: autoDraw = True
345.8000 	EXP 	hor_line_precue: autoDraw = False
345.8000 	EXP 	ver_line_precue: autoDraw = False
345.8000 	EXP 	hor_line_precue: autoDraw = False
345.8000 	EXP 	ver_line_precue: autoDraw = False
345.8000 	EXP 	image_mi: image = 'pics/left_hand.JPG'
345.8000 	EXP 	image_mi: autoDraw = True
350.3044 	EXP 	image_mi: autoDraw = False
350.3044 	EXP 	image_mi: autoDraw = False
350.3044 	EXP 	text_pause: autoDraw = True
352.7911 	EXP 	New trial (rep=0, index=2): {'pic_name': 'pics/mental_singing.JPG', 'class_mi': 'mental_singing'}
352.8069 	EXP 	text_pause: autoDraw = False
352.8069 	EXP 	text_pause: autoDraw = False
352.8069 	EXP 	hor_line_precue: autoDraw = True
352.8069 	EXP 	ver_line_precue: autoDraw = True
354.8089 	EXP 	hor_line_precue: autoDraw = False
354.8089 	EXP 	ver_line_precue: autoDraw = False
354.8089 	EXP 	hor_line_precue: autoDraw = False
354.8089 	EXP 	ver_line_precue: autoDraw = False
354.8089 	EXP 	image_mi: image = 'pics/mental_singing.JPG'
354.8089 	EXP 	image_mi: autoDraw = True
359.3133 	EXP 	image_mi: autoDraw = False
359.3133 	EXP 	image_mi: autoDraw = False
359.3133 	EXP 	text_pause: autoDraw = True
