7.8916 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001163AAE4AC0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001163AAE4A60>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001163AAE48E0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001163AF682E0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=1, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.5025 	EXP 	Created hor_line_precue = Line(__class__=<class 'psychopy.visual.line.Line'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([0, 0, 0]), fillColorSpace='rgb', fillRGB=array([0, 0, 0]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=5.0, name='hor_line_precue', opacity=0.5, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
13.5027 	EXP 	window1: mouseVisible = False
13.5084 	EXP 	Created ver_line_precue = Line(__class__=<class 'psychopy.visual.line.Line'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([0, 0, 0]), fillColorSpace='rgb', fillRGB=array([0, 0, 0]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=5.0, name='ver_line_precue', opacity=0.5, ori=90.0, pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
13.5087 	EXP 	window1: mouseVisible = False
13.5155 	EXP 	Created image_mi = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image_mi', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
13.5157 	EXP 	window1: mouseVisible = False
13.5180 	EXP 	Created text_pause = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_pause', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
13.5182 	EXP 	window1: mouseVisible = False
13.5279 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Run Finished', units='height', win=Window(...), wrapWidth=1)
13.5281 	EXP 	window1: mouseVisible = False
13.5345 	EXP 	Created text_post_run = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_post_run', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='End\n', units='height', win=Window(...), wrapWidth=1)
0.0370 	EXP 	text_pre_run: autoDraw = True
49.7812 	DATA 	Mouse: Left button down, pos=(446,520)
49.9054 	DATA 	Mouse:  Left button up, pos=(446,520)
51.2139 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
51.2143 	EXP 	New trial (rep=0, index=0): None
51.2170 	DATA 	Keypress: space
51.2379 	EXP 	text_pre_run: autoDraw = False
51.2379 	EXP 	text_2: autoDraw = True
54.2348 	EXP 	Imported classes.xlsx as conditions, 4 conditions, 2 params
54.2354 	EXP 	Created sequence: fullRandom, trialTypes=4, nReps=5, seed=None
54.2356 	EXP 	New trial (rep=0, index=0): {'pic_name': 'pics/left_hand.JPG', 'class_mi': 'left_hand'}
54.2575 	EXP 	text_2: autoDraw = False
54.2575 	EXP 	hor_line_precue: autoDraw = True
54.2575 	EXP 	ver_line_precue: autoDraw = True
56.2762 	EXP 	hor_line_precue: autoDraw = False
56.2762 	EXP 	ver_line_precue: autoDraw = False
56.2762 	EXP 	hor_line_precue: autoDraw = False
56.2762 	EXP 	ver_line_precue: autoDraw = False
56.2762 	EXP 	image_mi: image = 'pics/left_hand.JPG'
56.2762 	EXP 	image_mi: autoDraw = True
60.7806 	EXP 	image_mi: autoDraw = False
60.7806 	EXP 	image_mi: autoDraw = False
60.7806 	EXP 	text_pause: autoDraw = True
63.2673 	EXP 	New trial (rep=0, index=1): {'pic_name': 'pics/right_foot.JPG', 'class_mi': 'right_foot'}
63.2832 	EXP 	text_pause: autoDraw = False
63.2832 	EXP 	text_pause: autoDraw = False
63.2832 	EXP 	hor_line_precue: autoDraw = True
63.2832 	EXP 	ver_line_precue: autoDraw = True
65.3019 	EXP 	hor_line_precue: autoDraw = False
65.3019 	EXP 	ver_line_precue: autoDraw = False
65.3019 	EXP 	hor_line_precue: autoDraw = False
65.3019 	EXP 	ver_line_precue: autoDraw = False
65.3019 	EXP 	image_mi: image = 'pics/right_foot.JPG'
65.3019 	EXP 	image_mi: autoDraw = True
69.8063 	EXP 	image_mi: autoDraw = False
69.8063 	EXP 	image_mi: autoDraw = False
69.8063 	EXP 	text_pause: autoDraw = True
72.2932 	EXP 	New trial (rep=0, index=2): {'pic_name': 'pics/mental_singing.JPG', 'class_mi': 'mental_singing'}
72.3088 	EXP 	text_pause: autoDraw = False
72.3088 	EXP 	text_pause: autoDraw = False
72.3088 	EXP 	hor_line_precue: autoDraw = True
72.3088 	EXP 	ver_line_precue: autoDraw = True
74.3274 	EXP 	hor_line_precue: autoDraw = False
74.3274 	EXP 	ver_line_precue: autoDraw = False
74.3274 	EXP 	hor_line_precue: autoDraw = False
74.3274 	EXP 	ver_line_precue: autoDraw = False
74.3274 	EXP 	image_mi: image = 'pics/mental_singing.JPG'
74.3274 	EXP 	image_mi: autoDraw = True
78.8319 	EXP 	image_mi: autoDraw = False
78.8319 	EXP 	image_mi: autoDraw = False
78.8319 	EXP 	text_pause: autoDraw = True
81.3186 	EXP 	New trial (rep=0, index=3): {'pic_name': 'pics/mental_singing.JPG', 'class_mi': 'mental_singing'}
81.3344 	EXP 	text_pause: autoDraw = False
81.3344 	EXP 	text_pause: autoDraw = False
81.3344 	EXP 	hor_line_precue: autoDraw = True
81.3344 	EXP 	ver_line_precue: autoDraw = True
83.3364 	EXP 	hor_line_precue: autoDraw = False
83.3364 	EXP 	ver_line_precue: autoDraw = False
83.3364 	EXP 	hor_line_precue: autoDraw = False
83.3364 	EXP 	ver_line_precue: autoDraw = False
83.3364 	EXP 	image_mi: image = 'pics/mental_singing.JPG'
83.3364 	EXP 	image_mi: autoDraw = True
87.8409 	EXP 	image_mi: autoDraw = False
87.8409 	EXP 	image_mi: autoDraw = False
87.8409 	EXP 	text_pause: autoDraw = True
90.3277 	EXP 	New trial (rep=1, index=0): {'pic_name': 'pics/right_foot.JPG', 'class_mi': 'right_foot'}
90.3434 	EXP 	text_pause: autoDraw = False
90.3434 	EXP 	text_pause: autoDraw = False
90.3434 	EXP 	hor_line_precue: autoDraw = True
90.3434 	EXP 	ver_line_precue: autoDraw = True
92.3453 	EXP 	hor_line_precue: autoDraw = False
92.3453 	EXP 	ver_line_precue: autoDraw = False
92.3453 	EXP 	hor_line_precue: autoDraw = False
92.3453 	EXP 	ver_line_precue: autoDraw = False
92.3453 	EXP 	image_mi: image = 'pics/right_foot.JPG'
92.3453 	EXP 	image_mi: autoDraw = True
96.8499 	EXP 	image_mi: autoDraw = False
96.8499 	EXP 	image_mi: autoDraw = False
96.8499 	EXP 	text_pause: autoDraw = True
99.3366 	EXP 	New trial (rep=1, index=1): {'pic_name': 'pics/mental_singing.JPG', 'class_mi': 'mental_singing'}
99.3523 	EXP 	text_pause: autoDraw = False
99.3523 	EXP 	text_pause: autoDraw = False
99.3523 	EXP 	hor_line_precue: autoDraw = True
99.3523 	EXP 	ver_line_precue: autoDraw = True
101.3543 	EXP 	hor_line_precue: autoDraw = False
101.3543 	EXP 	ver_line_precue: autoDraw = False
101.3543 	EXP 	hor_line_precue: autoDraw = False
101.3543 	EXP 	ver_line_precue: autoDraw = False
101.3543 	EXP 	image_mi: image = 'pics/mental_singing.JPG'
101.3543 	EXP 	image_mi: autoDraw = True
105.8585 	EXP 	image_mi: autoDraw = False
105.8585 	EXP 	image_mi: autoDraw = False
105.8585 	EXP 	text_pause: autoDraw = True
108.3455 	EXP 	New trial (rep=1, index=2): {'pic_name': 'pics/left_hand.JPG', 'class_mi': 'left_hand'}
108.3612 	EXP 	text_pause: autoDraw = False
108.3612 	EXP 	text_pause: autoDraw = False
108.3612 	EXP 	hor_line_precue: autoDraw = True
108.3612 	EXP 	ver_line_precue: autoDraw = True
110.3633 	EXP 	hor_line_precue: autoDraw = False
110.3633 	EXP 	ver_line_precue: autoDraw = False
110.3633 	EXP 	hor_line_precue: autoDraw = False
110.3633 	EXP 	ver_line_precue: autoDraw = False
110.3633 	EXP 	image_mi: image = 'pics/left_hand.JPG'
110.3633 	EXP 	image_mi: autoDraw = True
114.8677 	EXP 	image_mi: autoDraw = False
114.8677 	EXP 	image_mi: autoDraw = False
114.8677 	EXP 	text_pause: autoDraw = True
117.3544 	EXP 	New trial (rep=1, index=3): {'pic_name': 'pics/left_hand.JPG', 'class_mi': 'left_hand'}
117.3702 	EXP 	text_pause: autoDraw = False
117.3702 	EXP 	text_pause: autoDraw = False
117.3702 	EXP 	hor_line_precue: autoDraw = True
117.3702 	EXP 	ver_line_precue: autoDraw = True
119.3722 	EXP 	hor_line_precue: autoDraw = False
119.3722 	EXP 	ver_line_precue: autoDraw = False
119.3722 	EXP 	hor_line_precue: autoDraw = False
119.3722 	EXP 	ver_line_precue: autoDraw = False
119.3722 	EXP 	image_mi: image = 'pics/left_hand.JPG'
119.3722 	EXP 	image_mi: autoDraw = True
123.8767 	EXP 	image_mi: autoDraw = False
123.8767 	EXP 	image_mi: autoDraw = False
123.8767 	EXP 	text_pause: autoDraw = True
126.3637 	EXP 	New trial (rep=2, index=0): {'pic_name': 'pics/left_foot.JPG', 'class_mi': 'left_foot'}
126.3792 	EXP 	text_pause: autoDraw = False
126.3792 	EXP 	text_pause: autoDraw = False
126.3792 	EXP 	hor_line_precue: autoDraw = True
126.3792 	EXP 	ver_line_precue: autoDraw = True
128.3979 	EXP 	hor_line_precue: autoDraw = False
128.3979 	EXP 	ver_line_precue: autoDraw = False
128.3979 	EXP 	hor_line_precue: autoDraw = False
128.3979 	EXP 	ver_line_precue: autoDraw = False
128.3979 	EXP 	image_mi: image = 'pics/left_foot.JPG'
128.3979 	EXP 	image_mi: autoDraw = True
132.9023 	EXP 	image_mi: autoDraw = False
132.9023 	EXP 	image_mi: autoDraw = False
132.9023 	EXP 	text_pause: autoDraw = True
135.3891 	EXP 	New trial (rep=2, index=1): {'pic_name': 'pics/left_hand.JPG', 'class_mi': 'left_hand'}
135.4048 	EXP 	text_pause: autoDraw = False
135.4048 	EXP 	text_pause: autoDraw = False
135.4048 	EXP 	hor_line_precue: autoDraw = True
135.4048 	EXP 	ver_line_precue: autoDraw = True
137.4068 	EXP 	hor_line_precue: autoDraw = False
137.4068 	EXP 	ver_line_precue: autoDraw = False
137.4068 	EXP 	hor_line_precue: autoDraw = False
137.4068 	EXP 	ver_line_precue: autoDraw = False
137.4068 	EXP 	image_mi: image = 'pics/left_hand.JPG'
137.4068 	EXP 	image_mi: autoDraw = True
141.9113 	EXP 	image_mi: autoDraw = False
141.9113 	EXP 	image_mi: autoDraw = False
141.9113 	EXP 	text_pause: autoDraw = True
144.3980 	EXP 	New trial (rep=2, index=2): {'pic_name': 'pics/left_hand.JPG', 'class_mi': 'left_hand'}
144.4138 	EXP 	text_pause: autoDraw = False
144.4138 	EXP 	text_pause: autoDraw = False
144.4138 	EXP 	hor_line_precue: autoDraw = True
144.4138 	EXP 	ver_line_precue: autoDraw = True
146.4158 	EXP 	hor_line_precue: autoDraw = False
146.4158 	EXP 	ver_line_precue: autoDraw = False
146.4158 	EXP 	hor_line_precue: autoDraw = False
146.4158 	EXP 	ver_line_precue: autoDraw = False
146.4158 	EXP 	image_mi: image = 'pics/left_hand.JPG'
146.4158 	EXP 	image_mi: autoDraw = True
150.9202 	EXP 	image_mi: autoDraw = False
150.9202 	EXP 	image_mi: autoDraw = False
150.9202 	EXP 	text_pause: autoDraw = True
153.4070 	EXP 	New trial (rep=2, index=3): {'pic_name': 'pics/right_foot.JPG', 'class_mi': 'right_foot'}
153.4228 	EXP 	text_pause: autoDraw = False
153.4228 	EXP 	text_pause: autoDraw = False
153.4228 	EXP 	hor_line_precue: autoDraw = True
153.4228 	EXP 	ver_line_precue: autoDraw = True
155.4247 	EXP 	hor_line_precue: autoDraw = False
155.4247 	EXP 	ver_line_precue: autoDraw = False
155.4247 	EXP 	hor_line_precue: autoDraw = False
155.4247 	EXP 	ver_line_precue: autoDraw = False
155.4247 	EXP 	image_mi: image = 'pics/right_foot.JPG'
155.4247 	EXP 	image_mi: autoDraw = True
159.9292 	EXP 	image_mi: autoDraw = False
159.9292 	EXP 	image_mi: autoDraw = False
159.9292 	EXP 	text_pause: autoDraw = True
162.4160 	EXP 	New trial (rep=3, index=0): {'pic_name': 'pics/mental_singing.JPG', 'class_mi': 'mental_singing'}
162.4317 	EXP 	text_pause: autoDraw = False
162.4317 	EXP 	text_pause: autoDraw = False
162.4317 	EXP 	hor_line_precue: autoDraw = True
162.4317 	EXP 	ver_line_precue: autoDraw = True
164.4336 	EXP 	hor_line_precue: autoDraw = False
164.4336 	EXP 	ver_line_precue: autoDraw = False
164.4336 	EXP 	hor_line_precue: autoDraw = False
164.4336 	EXP 	ver_line_precue: autoDraw = False
164.4336 	EXP 	image_mi: image = 'pics/mental_singing.JPG'
164.4336 	EXP 	image_mi: autoDraw = True
168.9381 	EXP 	image_mi: autoDraw = False
168.9381 	EXP 	image_mi: autoDraw = False
168.9381 	EXP 	text_pause: autoDraw = True
171.4246 	EXP 	New trial (rep=3, index=1): {'pic_name': 'pics/right_foot.JPG', 'class_mi': 'right_foot'}
171.4404 	EXP 	text_pause: autoDraw = False
171.4404 	EXP 	text_pause: autoDraw = False
171.4404 	EXP 	hor_line_precue: autoDraw = True
171.4404 	EXP 	ver_line_precue: autoDraw = True
173.4426 	EXP 	hor_line_precue: autoDraw = False
173.4426 	EXP 	ver_line_precue: autoDraw = False
173.4426 	EXP 	hor_line_precue: autoDraw = False
173.4426 	EXP 	ver_line_precue: autoDraw = False
173.4426 	EXP 	image_mi: image = 'pics/right_foot.JPG'
173.4426 	EXP 	image_mi: autoDraw = True
177.9470 	EXP 	image_mi: autoDraw = False
177.9470 	EXP 	image_mi: autoDraw = False
177.9470 	EXP 	text_pause: autoDraw = True
180.4338 	EXP 	New trial (rep=3, index=2): {'pic_name': 'pics/left_foot.JPG', 'class_mi': 'left_foot'}
180.4496 	EXP 	text_pause: autoDraw = False
180.4496 	EXP 	text_pause: autoDraw = False
180.4496 	EXP 	hor_line_precue: autoDraw = True
180.4496 	EXP 	ver_line_precue: autoDraw = True
182.4515 	EXP 	hor_line_precue: autoDraw = False
182.4515 	EXP 	ver_line_precue: autoDraw = False
182.4515 	EXP 	hor_line_precue: autoDraw = False
182.4515 	EXP 	ver_line_precue: autoDraw = False
182.4515 	EXP 	image_mi: image = 'pics/left_foot.JPG'
182.4515 	EXP 	image_mi: autoDraw = True
186.9561 	EXP 	image_mi: autoDraw = False
186.9561 	EXP 	image_mi: autoDraw = False
186.9561 	EXP 	text_pause: autoDraw = True
189.4425 	EXP 	New trial (rep=3, index=3): {'pic_name': 'pics/left_foot.JPG', 'class_mi': 'left_foot'}
189.4585 	EXP 	text_pause: autoDraw = False
189.4585 	EXP 	text_pause: autoDraw = False
189.4585 	EXP 	hor_line_precue: autoDraw = True
189.4585 	EXP 	ver_line_precue: autoDraw = True
191.4605 	EXP 	hor_line_precue: autoDraw = False
191.4605 	EXP 	ver_line_precue: autoDraw = False
191.4605 	EXP 	hor_line_precue: autoDraw = False
191.4605 	EXP 	ver_line_precue: autoDraw = False
191.4605 	EXP 	image_mi: image = 'pics/left_foot.JPG'
191.4605 	EXP 	image_mi: autoDraw = True
195.9651 	EXP 	image_mi: autoDraw = False
195.9651 	EXP 	image_mi: autoDraw = False
195.9651 	EXP 	text_pause: autoDraw = True
198.4518 	EXP 	New trial (rep=4, index=0): {'pic_name': 'pics/mental_singing.JPG', 'class_mi': 'mental_singing'}
198.4675 	EXP 	text_pause: autoDraw = False
198.4675 	EXP 	text_pause: autoDraw = False
198.4675 	EXP 	hor_line_precue: autoDraw = True
198.4675 	EXP 	ver_line_precue: autoDraw = True
200.4694 	EXP 	hor_line_precue: autoDraw = False
200.4694 	EXP 	ver_line_precue: autoDraw = False
200.4694 	EXP 	hor_line_precue: autoDraw = False
200.4694 	EXP 	ver_line_precue: autoDraw = False
200.4694 	EXP 	image_mi: image = 'pics/mental_singing.JPG'
200.4694 	EXP 	image_mi: autoDraw = True
204.9740 	EXP 	image_mi: autoDraw = False
204.9740 	EXP 	image_mi: autoDraw = False
204.9740 	EXP 	text_pause: autoDraw = True
207.4606 	EXP 	New trial (rep=4, index=1): {'pic_name': 'pics/right_foot.JPG', 'class_mi': 'right_foot'}
207.4764 	EXP 	text_pause: autoDraw = False
207.4764 	EXP 	text_pause: autoDraw = False
207.4764 	EXP 	hor_line_precue: autoDraw = True
207.4764 	EXP 	ver_line_precue: autoDraw = True
209.4784 	EXP 	hor_line_precue: autoDraw = False
209.4784 	EXP 	ver_line_precue: autoDraw = False
209.4784 	EXP 	hor_line_precue: autoDraw = False
209.4784 	EXP 	ver_line_precue: autoDraw = False
209.4784 	EXP 	image_mi: image = 'pics/right_foot.JPG'
209.4784 	EXP 	image_mi: autoDraw = True
213.9829 	EXP 	image_mi: autoDraw = False
213.9829 	EXP 	image_mi: autoDraw = False
213.9829 	EXP 	text_pause: autoDraw = True
216.4697 	EXP 	New trial (rep=4, index=2): {'pic_name': 'pics/left_foot.JPG', 'class_mi': 'left_foot'}
216.4854 	EXP 	text_pause: autoDraw = False
216.4854 	EXP 	text_pause: autoDraw = False
216.4854 	EXP 	hor_line_precue: autoDraw = True
216.4854 	EXP 	ver_line_precue: autoDraw = True
218.4874 	EXP 	hor_line_precue: autoDraw = False
218.4874 	EXP 	ver_line_precue: autoDraw = False
218.4874 	EXP 	hor_line_precue: autoDraw = False
218.4874 	EXP 	ver_line_precue: autoDraw = False
218.4874 	EXP 	image_mi: image = 'pics/left_foot.JPG'
218.4874 	EXP 	image_mi: autoDraw = True
222.9919 	EXP 	image_mi: autoDraw = False
222.9919 	EXP 	image_mi: autoDraw = False
222.9919 	EXP 	text_pause: autoDraw = True
225.4786 	EXP 	New trial (rep=4, index=3): {'pic_name': 'pics/left_foot.JPG', 'class_mi': 'left_foot'}
225.4943 	EXP 	text_pause: autoDraw = False
225.4943 	EXP 	text_pause: autoDraw = False
225.4943 	EXP 	hor_line_precue: autoDraw = True
225.4943 	EXP 	ver_line_precue: autoDraw = True
227.4963 	EXP 	hor_line_precue: autoDraw = False
227.4963 	EXP 	ver_line_precue: autoDraw = False
227.4963 	EXP 	hor_line_precue: autoDraw = False
227.4963 	EXP 	ver_line_precue: autoDraw = False
227.4963 	EXP 	image_mi: image = 'pics/left_foot.JPG'
227.4963 	EXP 	image_mi: autoDraw = True
232.0008 	EXP 	image_mi: autoDraw = False
232.0008 	EXP 	image_mi: autoDraw = False
232.0008 	EXP 	text_pause: autoDraw = True
234.5033 	EXP 	text_pause: autoDraw = False
234.5033 	EXP 	text_pause: autoDraw = False
234.5033 	EXP 	text: autoDraw = True
393.4803 	DATA 	Mouse: Left button down, pos=(1691,1013)
393.6302 	DATA 	Mouse:  Left button up, pos=(1691,1013)
394.8144 	EXP 	New trial (rep=1, index=0): None
394.8165 	DATA 	Keypress: space
394.8292 	EXP 	text: autoDraw = False
394.8292 	EXP 	text_2: autoDraw = True
397.8229 	EXP 	Imported classes.xlsx as conditions, 4 conditions, 2 params
397.8235 	EXP 	Created sequence: fullRandom, trialTypes=4, nReps=5, seed=None
397.8237 	EXP 	New trial (rep=0, index=0): {'pic_name': 'pics/right_foot.JPG', 'class_mi': 'right_foot'}
397.8322 	EXP 	text_2: autoDraw = False
397.8322 	EXP 	hor_line_precue: autoDraw = True
397.8322 	EXP 	ver_line_precue: autoDraw = True
399.8342 	EXP 	hor_line_precue: autoDraw = False
399.8342 	EXP 	ver_line_precue: autoDraw = False
399.8342 	EXP 	hor_line_precue: autoDraw = False
399.8342 	EXP 	ver_line_precue: autoDraw = False
399.8342 	EXP 	image_mi: image = 'pics/right_foot.JPG'
399.8342 	EXP 	image_mi: autoDraw = True
404.3387 	EXP 	image_mi: autoDraw = False
404.3387 	EXP 	image_mi: autoDraw = False
404.3387 	EXP 	text_pause: autoDraw = True
406.8254 	EXP 	New trial (rep=0, index=1): {'pic_name': 'pics/left_hand.JPG', 'class_mi': 'left_hand'}
406.8412 	EXP 	text_pause: autoDraw = False
406.8412 	EXP 	text_pause: autoDraw = False
406.8412 	EXP 	hor_line_precue: autoDraw = True
406.8412 	EXP 	ver_line_precue: autoDraw = True
408.8431 	EXP 	hor_line_precue: autoDraw = False
408.8431 	EXP 	ver_line_precue: autoDraw = False
408.8431 	EXP 	hor_line_precue: autoDraw = False
408.8431 	EXP 	ver_line_precue: autoDraw = False
408.8431 	EXP 	image_mi: image = 'pics/left_hand.JPG'
408.8431 	EXP 	image_mi: autoDraw = True
413.3477 	EXP 	image_mi: autoDraw = False
413.3477 	EXP 	image_mi: autoDraw = False
413.3477 	EXP 	text_pause: autoDraw = True
415.8341 	EXP 	New trial (rep=0, index=2): {'pic_name': 'pics/left_foot.JPG', 'class_mi': 'left_foot'}
415.8500 	EXP 	text_pause: autoDraw = False
415.8500 	EXP 	text_pause: autoDraw = False
415.8500 	EXP 	hor_line_precue: autoDraw = True
415.8500 	EXP 	ver_line_precue: autoDraw = True
417.8521 	EXP 	hor_line_precue: autoDraw = False
417.8521 	EXP 	ver_line_precue: autoDraw = False
417.8521 	EXP 	hor_line_precue: autoDraw = False
417.8521 	EXP 	ver_line_precue: autoDraw = False
417.8521 	EXP 	image_mi: image = 'pics/left_foot.JPG'
417.8521 	EXP 	image_mi: autoDraw = True
422.3566 	EXP 	image_mi: autoDraw = False
422.3566 	EXP 	image_mi: autoDraw = False
422.3566 	EXP 	text_pause: autoDraw = True
