8.5481 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000020E6A3923D0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000020E6A392370>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000020E6A3921C0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000020E6A694C70>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=1, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.6472 	EXP 	window1: recordFrameIntervals = False
8.9387 	EXP 	window1: recordFrameIntervals = True
9.1224 	EXP 	Screen (1) actual frame rate measured at 59.91Hz
9.1225 	EXP 	window1: recordFrameIntervals = False
9.1226 	EXP 	window1: mouseVisible = False
13.5534 	EXP 	bci_racingteam: status = STARTED
13.5538 	EXP 	window1: mouseVisible = False
13.6543 	EXP 	Created text_pre_run = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_pre_run', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Press any key to start ...', units='height', win=Window(...), wrapWidth=1)
13.6545 	EXP 	window1: mouseVisible = False
13.6583 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
13.6585 	EXP 	window1: mouseVisible = False
13.6627 	EXP 	Created hor_line_precue = Line(__class__=<class 'psychopy.visual.line.Line'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([0, 0, 0]), fillColorSpace='rgb', fillRGB=array([0, 0, 0]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=5.0, name='hor_line_precue', opacity=0.5, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
13.6629 	EXP 	window1: mouseVisible = False
13.6670 	EXP 	Created ver_line_precue = Line(__class__=<class 'psychopy.visual.line.Line'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([0, 0, 0]), fillColorSpace='rgb', fillRGB=array([0, 0, 0]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=5.0, name='ver_line_precue', opacity=0.5, ori=90.0, pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
13.6672 	EXP 	window1: mouseVisible = False
13.6734 	EXP 	Created image_mi = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image_mi', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
13.6736 	EXP 	window1: mouseVisible = False
13.6761 	EXP 	Created text_pause = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_pause', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
13.6763 	EXP 	window1: mouseVisible = False
13.6873 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Run Finished', units='height', win=Window(...), wrapWidth=1)
13.6875 	EXP 	window1: mouseVisible = False
13.6963 	EXP 	Created text_post_run = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_post_run', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='End\n', units='height', win=Window(...), wrapWidth=1)
0.0305 	EXP 	text_pre_run: autoDraw = True
22.7092 	DATA 	Mouse: Left button down, pos=(209,961)
22.8078 	DATA 	Mouse:  Left button up, pos=(209,961)
25.0152 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
25.0157 	EXP 	New trial (rep=0, index=0): None
25.0199 	DATA 	Keypress: space
25.0387 	EXP 	text_pre_run: autoDraw = False
25.0387 	EXP 	text_2: autoDraw = True
28.0365 	EXP 	Imported classes.xlsx as conditions, 2 conditions, 2 params
28.0372 	EXP 	Created sequence: fullRandom, trialTypes=2, nReps=2, seed=None
28.0375 	EXP 	New trial (rep=0, index=0): {'pic_name': 'pics/hand.png', 'class_mi': 'hand'}
28.0583 	EXP 	text_2: autoDraw = False
28.0583 	EXP 	hor_line_precue: autoDraw = True
28.0583 	EXP 	ver_line_precue: autoDraw = True
30.0936 	EXP 	hor_line_precue: autoDraw = False
30.0936 	EXP 	ver_line_precue: autoDraw = False
30.0936 	EXP 	hor_line_precue: autoDraw = False
30.0936 	EXP 	ver_line_precue: autoDraw = False
30.0936 	EXP 	image_mi: image = 'pics/hand.png'
30.0936 	EXP 	image_mi: autoDraw = True
34.5980 	EXP 	image_mi: autoDraw = False
34.5980 	EXP 	image_mi: autoDraw = False
34.5980 	EXP 	text_pause: autoDraw = True
37.0855 	EXP 	New trial (rep=0, index=1): {'pic_name': 'pics/hand.png', 'class_mi': 'hand'}
37.1007 	EXP 	text_pause: autoDraw = False
37.1007 	EXP 	text_pause: autoDraw = False
37.1007 	EXP 	hor_line_precue: autoDraw = True
37.1007 	EXP 	ver_line_precue: autoDraw = True
39.1360 	EXP 	hor_line_precue: autoDraw = False
39.1360 	EXP 	ver_line_precue: autoDraw = False
39.1360 	EXP 	hor_line_precue: autoDraw = False
39.1360 	EXP 	ver_line_precue: autoDraw = False
39.1360 	EXP 	image_mi: image = 'pics/hand.png'
39.1360 	EXP 	image_mi: autoDraw = True
43.6405 	EXP 	image_mi: autoDraw = False
43.6405 	EXP 	image_mi: autoDraw = False
43.6405 	EXP 	text_pause: autoDraw = True
46.1280 	EXP 	New trial (rep=1, index=0): {'pic_name': 'pics/foot.png', 'class_mi': 'foot'}
46.1430 	EXP 	text_pause: autoDraw = False
46.1430 	EXP 	text_pause: autoDraw = False
46.1430 	EXP 	hor_line_precue: autoDraw = True
46.1430 	EXP 	ver_line_precue: autoDraw = True
48.1780 	EXP 	hor_line_precue: autoDraw = False
48.1780 	EXP 	ver_line_precue: autoDraw = False
48.1780 	EXP 	hor_line_precue: autoDraw = False
48.1780 	EXP 	ver_line_precue: autoDraw = False
48.1780 	EXP 	image_mi: image = 'pics/foot.png'
48.1780 	EXP 	image_mi: autoDraw = True
52.6829 	EXP 	image_mi: autoDraw = False
52.6829 	EXP 	image_mi: autoDraw = False
52.6829 	EXP 	text_pause: autoDraw = True
55.1701 	EXP 	New trial (rep=1, index=1): {'pic_name': 'pics/foot.png', 'class_mi': 'foot'}
55.1853 	EXP 	text_pause: autoDraw = False
55.1853 	EXP 	text_pause: autoDraw = False
55.1853 	EXP 	hor_line_precue: autoDraw = True
55.1853 	EXP 	ver_line_precue: autoDraw = True
57.2206 	EXP 	hor_line_precue: autoDraw = False
57.2206 	EXP 	ver_line_precue: autoDraw = False
57.2206 	EXP 	hor_line_precue: autoDraw = False
57.2206 	EXP 	ver_line_precue: autoDraw = False
57.2206 	EXP 	image_mi: image = 'pics/foot.png'
57.2206 	EXP 	image_mi: autoDraw = True
61.7252 	EXP 	image_mi: autoDraw = False
61.7252 	EXP 	image_mi: autoDraw = False
61.7252 	EXP 	text_pause: autoDraw = True
64.2276 	EXP 	text_pause: autoDraw = False
64.2276 	EXP 	text_pause: autoDraw = False
64.2276 	EXP 	text: autoDraw = True
102.7211 	EXP 	bci_racingteam: status = STOPPED
102.7327 	EXP 	text: autoDraw = False
102.7328 	EXP 	bci_racingteam: status = STOPPED
102.7673 	EXP 	window1: mouseVisible = True
