10.3885 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001480D1485E0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001480D148910>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001480D148700>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001480D601250>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=1, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
16.7545 	EXP 	Created ver_line_precue = Line(__class__=<class 'psychopy.visual.line.Line'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([0, 0, 0]), fillColorSpace='rgb', fillRGB=array([0, 0, 0]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=5.0, name='ver_line_precue', opacity=0.5, ori=90.0, pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
16.7548 	EXP 	window1: mouseVisible = False
16.7611 	EXP 	Created image_mi = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image_mi', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
16.7613 	EXP 	window1: mouseVisible = False
16.7643 	EXP 	Created polygon = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('left', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=False, fillColor=array([-1.    , -1.    ,  0.0902]), fillColorSpace='rgb', fillRGB=array([-1.    , -1.    ,  0.0902]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='polygon', opacity=1.0, ori=0.0, pos=array([-0.5,  0.3]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
16.7645 	EXP 	window1: mouseVisible = False
16.7673 	EXP 	Created polygon_2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('left', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-3.0, draggable=False, fillColor=array([ 0.6471, -0.1765, -0.7647]), fillColorSpace='rgb', fillRGB=array([ 0.6471, -0.1765, -0.7647]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='polygon_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
16.7675 	EXP 	window1: mouseVisible = False
16.7702 	EXP 	Created polygon_3 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('left', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-4.0, draggable=False, fillColor=array([ 0.3961, -0.7333, -0.7333]), fillColorSpace='rgb', fillRGB=array([ 0.3961, -0.7333, -0.7333]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='polygon_3', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
16.7704 	EXP 	window1: mouseVisible = False
16.7731 	EXP 	Created polygon_4 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('left', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-5.0, draggable=False, fillColor=array([0.9608, 0.9608, 0.6471]), fillColorSpace='rgb', fillRGB=array([0.9608, 0.9608, 0.6471]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='polygon_4', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
16.7734 	EXP 	window1: mouseVisible = False
16.7763 	EXP 	Created text_pause = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_pause', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
16.7765 	EXP 	window1: mouseVisible = False
16.7891 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Run Finished', units='height', win=Window(...), wrapWidth=1)
16.7894 	EXP 	window1: mouseVisible = False
16.7998 	EXP 	Created text_post_run = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_post_run', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Block Finished. Yuhu!', units='height', win=Window(...), wrapWidth=1)
16.8000 	EXP 	window1: mouseVisible = False
16.8050 	EXP 	Created text_post_run_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_post_run_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Block Finished. Yuhu!', units='height', win=Window(...), wrapWidth=1)
0.0403 	EXP 	text_pre_block: autoDraw = True
3.6356 	DATA 	Mouse: Left button down, pos=(406,689)
3.7147 	DATA 	Mouse:  Left button up, pos=(406,689)
5.1307 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
5.1311 	EXP 	New trial (rep=0, index=0): None
5.1338 	DATA 	Keypress: space
5.1453 	EXP 	text_pre_block: autoDraw = False
5.1453 	EXP 	text_2: autoDraw = True
8.1481 	EXP 	Imported classes.xlsx as conditions, 4 conditions, 2 params
8.1489 	EXP 	Created sequence: fullRandom, trialTypes=4, nReps=5, seed=None
8.1494 	EXP 	New trial (rep=0, index=0): {'pic_name': 'pics/left_hand.JPG', 'class_mi': 'left_hand'}
8.1649 	EXP 	text_2: autoDraw = False
8.1649 	EXP 	hor_line_precue: autoDraw = True
8.1649 	EXP 	ver_line_precue: autoDraw = True
10.1836 	EXP 	hor_line_precue: autoDraw = False
10.1836 	EXP 	ver_line_precue: autoDraw = False
10.1836 	EXP 	hor_line_precue: autoDraw = False
10.1836 	EXP 	ver_line_precue: autoDraw = False
10.1836 	EXP 	image_mi: image = 'pics/left_hand.JPG'
10.1836 	EXP 	image_mi: autoDraw = True
10.1836 	EXP 	polygon: autoDraw = True
10.1836 	EXP 	polygon_2: autoDraw = True
10.1836 	EXP 	polygon_3: autoDraw = True
10.1836 	EXP 	polygon_4: autoDraw = True
14.6881 	EXP 	image_mi: autoDraw = False
14.6881 	EXP 	polygon: autoDraw = False
14.6881 	EXP 	polygon_2: autoDraw = False
14.6881 	EXP 	polygon_3: autoDraw = False
14.6881 	EXP 	polygon_4: autoDraw = False
14.6881 	EXP 	image_mi: autoDraw = False
14.6881 	EXP 	polygon: autoDraw = False
14.6881 	EXP 	polygon_2: autoDraw = False
14.6881 	EXP 	polygon_3: autoDraw = False
14.6881 	EXP 	polygon_4: autoDraw = False
14.6881 	EXP 	text_pause: autoDraw = True
17.1748 	EXP 	New trial (rep=0, index=1): {'pic_name': 'pics/left_hand.JPG', 'class_mi': 'left_hand'}
17.1905 	EXP 	text_pause: autoDraw = False
17.1905 	EXP 	text_pause: autoDraw = False
17.1905 	EXP 	hor_line_precue: autoDraw = True
17.1905 	EXP 	ver_line_precue: autoDraw = True
19.1925 	EXP 	hor_line_precue: autoDraw = False
19.1925 	EXP 	ver_line_precue: autoDraw = False
19.1925 	EXP 	hor_line_precue: autoDraw = False
19.1925 	EXP 	ver_line_precue: autoDraw = False
19.1925 	EXP 	image_mi: image = 'pics/left_hand.JPG'
19.1925 	EXP 	image_mi: autoDraw = True
19.1925 	EXP 	polygon: autoDraw = True
19.1925 	EXP 	polygon_2: autoDraw = True
19.1925 	EXP 	polygon_3: autoDraw = True
19.1925 	EXP 	polygon_4: autoDraw = True
23.6971 	EXP 	image_mi: autoDraw = False
23.6971 	EXP 	polygon: autoDraw = False
23.6971 	EXP 	polygon_2: autoDraw = False
23.6971 	EXP 	polygon_3: autoDraw = False
23.6971 	EXP 	polygon_4: autoDraw = False
23.6971 	EXP 	image_mi: autoDraw = False
23.6971 	EXP 	polygon: autoDraw = False
23.6971 	EXP 	polygon_2: autoDraw = False
23.6971 	EXP 	polygon_3: autoDraw = False
23.6971 	EXP 	polygon_4: autoDraw = False
23.6971 	EXP 	text_pause: autoDraw = True
26.1843 	EXP 	New trial (rep=0, index=2): {'pic_name': 'pics/right_foot.JPG', 'class_mi': 'right_foot'}
26.1995 	EXP 	text_pause: autoDraw = False
26.1995 	EXP 	text_pause: autoDraw = False
26.1995 	EXP 	hor_line_precue: autoDraw = True
26.1995 	EXP 	ver_line_precue: autoDraw = True
28.2182 	EXP 	hor_line_precue: autoDraw = False
28.2182 	EXP 	ver_line_precue: autoDraw = False
28.2182 	EXP 	hor_line_precue: autoDraw = False
28.2182 	EXP 	ver_line_precue: autoDraw = False
28.2182 	EXP 	image_mi: image = 'pics/right_foot.JPG'
28.2182 	EXP 	image_mi: autoDraw = True
28.2182 	EXP 	polygon: autoDraw = True
28.2182 	EXP 	polygon_2: autoDraw = True
28.2182 	EXP 	polygon_3: autoDraw = True
28.2182 	EXP 	polygon_4: autoDraw = True
32.7393 	EXP 	image_mi: autoDraw = False
32.7393 	EXP 	polygon: autoDraw = False
32.7393 	EXP 	polygon_2: autoDraw = False
32.7393 	EXP 	polygon_3: autoDraw = False
32.7393 	EXP 	polygon_4: autoDraw = False
32.7393 	EXP 	image_mi: autoDraw = False
32.7393 	EXP 	polygon: autoDraw = False
32.7393 	EXP 	polygon_2: autoDraw = False
32.7393 	EXP 	polygon_3: autoDraw = False
32.7393 	EXP 	polygon_4: autoDraw = False
32.7393 	EXP 	text_pause: autoDraw = True
35.2263 	EXP 	New trial (rep=0, index=3): {'pic_name': 'pics/left_foot.JPG', 'class_mi': 'left_foot'}
35.2417 	EXP 	text_pause: autoDraw = False
35.2417 	EXP 	text_pause: autoDraw = False
35.2417 	EXP 	hor_line_precue: autoDraw = True
35.2417 	EXP 	ver_line_precue: autoDraw = True
37.2605 	EXP 	hor_line_precue: autoDraw = False
37.2605 	EXP 	ver_line_precue: autoDraw = False
37.2605 	EXP 	hor_line_precue: autoDraw = False
37.2605 	EXP 	ver_line_precue: autoDraw = False
37.2605 	EXP 	image_mi: image = 'pics/left_foot.JPG'
37.2605 	EXP 	image_mi: autoDraw = True
37.2605 	EXP 	polygon: autoDraw = True
37.2605 	EXP 	polygon_2: autoDraw = True
37.2605 	EXP 	polygon_3: autoDraw = True
37.2605 	EXP 	polygon_4: autoDraw = True
41.7650 	EXP 	image_mi: autoDraw = False
41.7650 	EXP 	polygon: autoDraw = False
41.7650 	EXP 	polygon_2: autoDraw = False
41.7650 	EXP 	polygon_3: autoDraw = False
41.7650 	EXP 	polygon_4: autoDraw = False
41.7650 	EXP 	image_mi: autoDraw = False
41.7650 	EXP 	polygon: autoDraw = False
41.7650 	EXP 	polygon_2: autoDraw = False
41.7650 	EXP 	polygon_3: autoDraw = False
41.7650 	EXP 	polygon_4: autoDraw = False
41.7650 	EXP 	text_pause: autoDraw = True
44.2522 	EXP 	New trial (rep=1, index=0): {'pic_name': 'pics/left_foot.JPG', 'class_mi': 'left_foot'}
44.2674 	EXP 	text_pause: autoDraw = False
44.2674 	EXP 	text_pause: autoDraw = False
44.2674 	EXP 	hor_line_precue: autoDraw = True
44.2674 	EXP 	ver_line_precue: autoDraw = True
46.2861 	EXP 	hor_line_precue: autoDraw = False
46.2861 	EXP 	ver_line_precue: autoDraw = False
46.2861 	EXP 	hor_line_precue: autoDraw = False
46.2861 	EXP 	ver_line_precue: autoDraw = False
46.2861 	EXP 	image_mi: image = 'pics/left_foot.JPG'
46.2861 	EXP 	image_mi: autoDraw = True
46.2861 	EXP 	polygon: autoDraw = True
46.2861 	EXP 	polygon_2: autoDraw = True
46.2861 	EXP 	polygon_3: autoDraw = True
46.2861 	EXP 	polygon_4: autoDraw = True
50.7906 	EXP 	image_mi: autoDraw = False
50.7906 	EXP 	polygon: autoDraw = False
50.7906 	EXP 	polygon_2: autoDraw = False
50.7906 	EXP 	polygon_3: autoDraw = False
50.7906 	EXP 	polygon_4: autoDraw = False
50.7906 	EXP 	image_mi: autoDraw = False
50.7906 	EXP 	polygon: autoDraw = False
50.7906 	EXP 	polygon_2: autoDraw = False
50.7906 	EXP 	polygon_3: autoDraw = False
50.7906 	EXP 	polygon_4: autoDraw = False
50.7906 	EXP 	text_pause: autoDraw = True
53.2782 	EXP 	New trial (rep=1, index=1): {'pic_name': 'pics/right_foot.JPG', 'class_mi': 'right_foot'}
53.2931 	EXP 	text_pause: autoDraw = False
53.2931 	EXP 	text_pause: autoDraw = False
53.2931 	EXP 	hor_line_precue: autoDraw = True
53.2931 	EXP 	ver_line_precue: autoDraw = True
54.5976 	DATA 	Keypress: lalt
55.3278 	EXP 	hor_line_precue: autoDraw = False
55.3278 	EXP 	ver_line_precue: autoDraw = False
55.3278 	EXP 	hor_line_precue: autoDraw = False
55.3278 	EXP 	ver_line_precue: autoDraw = False
55.3278 	EXP 	image_mi: image = 'pics/right_foot.JPG'
55.3278 	EXP 	image_mi: autoDraw = True
55.3278 	EXP 	polygon: autoDraw = True
55.3278 	EXP 	polygon_2: autoDraw = True
55.3278 	EXP 	polygon_3: autoDraw = True
55.3278 	EXP 	polygon_4: autoDraw = True
59.8329 	EXP 	image_mi: autoDraw = False
59.8329 	EXP 	polygon: autoDraw = False
59.8329 	EXP 	polygon_2: autoDraw = False
59.8329 	EXP 	polygon_3: autoDraw = False
59.8329 	EXP 	polygon_4: autoDraw = False
59.8329 	EXP 	image_mi: autoDraw = False
59.8329 	EXP 	polygon: autoDraw = False
59.8329 	EXP 	polygon_2: autoDraw = False
59.8329 	EXP 	polygon_3: autoDraw = False
59.8329 	EXP 	polygon_4: autoDraw = False
59.8329 	EXP 	text_pause: autoDraw = True
62.3205 	EXP 	New trial (rep=1, index=2): {'pic_name': 'pics/left_foot.JPG', 'class_mi': 'left_foot'}
62.3354 	EXP 	text_pause: autoDraw = False
62.3354 	EXP 	text_pause: autoDraw = False
62.3354 	EXP 	hor_line_precue: autoDraw = True
62.3354 	EXP 	ver_line_precue: autoDraw = True
64.3538 	EXP 	hor_line_precue: autoDraw = False
64.3538 	EXP 	ver_line_precue: autoDraw = False
64.3538 	EXP 	hor_line_precue: autoDraw = False
64.3538 	EXP 	ver_line_precue: autoDraw = False
64.3538 	EXP 	image_mi: image = 'pics/left_foot.JPG'
64.3538 	EXP 	image_mi: autoDraw = True
64.3538 	EXP 	polygon: autoDraw = True
64.3538 	EXP 	polygon_2: autoDraw = True
64.3538 	EXP 	polygon_3: autoDraw = True
64.3538 	EXP 	polygon_4: autoDraw = True
68.8584 	EXP 	image_mi: autoDraw = False
68.8584 	EXP 	polygon: autoDraw = False
68.8584 	EXP 	polygon_2: autoDraw = False
68.8584 	EXP 	polygon_3: autoDraw = False
68.8584 	EXP 	polygon_4: autoDraw = False
68.8584 	EXP 	image_mi: autoDraw = False
68.8584 	EXP 	polygon: autoDraw = False
68.8584 	EXP 	polygon_2: autoDraw = False
68.8584 	EXP 	polygon_3: autoDraw = False
68.8584 	EXP 	polygon_4: autoDraw = False
68.8584 	EXP 	text_pause: autoDraw = True
71.3454 	EXP 	New trial (rep=1, index=3): {'pic_name': 'pics/left_foot.JPG', 'class_mi': 'left_foot'}
71.3610 	EXP 	text_pause: autoDraw = False
71.3610 	EXP 	text_pause: autoDraw = False
71.3610 	EXP 	hor_line_precue: autoDraw = True
71.3610 	EXP 	ver_line_precue: autoDraw = True
73.3797 	EXP 	hor_line_precue: autoDraw = False
73.3797 	EXP 	ver_line_precue: autoDraw = False
73.3797 	EXP 	hor_line_precue: autoDraw = False
73.3797 	EXP 	ver_line_precue: autoDraw = False
73.3797 	EXP 	image_mi: image = 'pics/left_foot.JPG'
73.3797 	EXP 	image_mi: autoDraw = True
73.3797 	EXP 	polygon: autoDraw = True
73.3797 	EXP 	polygon_2: autoDraw = True
73.3797 	EXP 	polygon_3: autoDraw = True
73.3797 	EXP 	polygon_4: autoDraw = True
77.8841 	EXP 	image_mi: autoDraw = False
77.8841 	EXP 	polygon: autoDraw = False
77.8841 	EXP 	polygon_2: autoDraw = False
77.8841 	EXP 	polygon_3: autoDraw = False
77.8841 	EXP 	polygon_4: autoDraw = False
77.8841 	EXP 	image_mi: autoDraw = False
77.8841 	EXP 	polygon: autoDraw = False
77.8841 	EXP 	polygon_2: autoDraw = False
77.8841 	EXP 	polygon_3: autoDraw = False
77.8841 	EXP 	polygon_4: autoDraw = False
77.8841 	EXP 	text_pause: autoDraw = True
80.3709 	EXP 	New trial (rep=2, index=0): {'pic_name': 'pics/left_hand.JPG', 'class_mi': 'left_hand'}
80.3865 	EXP 	text_pause: autoDraw = False
80.3865 	EXP 	text_pause: autoDraw = False
80.3865 	EXP 	hor_line_precue: autoDraw = True
80.3865 	EXP 	ver_line_precue: autoDraw = True
82.4054 	EXP 	hor_line_precue: autoDraw = False
82.4054 	EXP 	ver_line_precue: autoDraw = False
82.4054 	EXP 	hor_line_precue: autoDraw = False
82.4054 	EXP 	ver_line_precue: autoDraw = False
82.4054 	EXP 	image_mi: image = 'pics/left_hand.JPG'
82.4054 	EXP 	image_mi: autoDraw = True
82.4054 	EXP 	polygon: autoDraw = True
82.4054 	EXP 	polygon_2: autoDraw = True
82.4054 	EXP 	polygon_3: autoDraw = True
82.4054 	EXP 	polygon_4: autoDraw = True
86.9097 	EXP 	image_mi: autoDraw = False
86.9097 	EXP 	polygon: autoDraw = False
86.9097 	EXP 	polygon_2: autoDraw = False
86.9097 	EXP 	polygon_3: autoDraw = False
86.9097 	EXP 	polygon_4: autoDraw = False
86.9097 	EXP 	image_mi: autoDraw = False
86.9097 	EXP 	polygon: autoDraw = False
86.9097 	EXP 	polygon_2: autoDraw = False
86.9097 	EXP 	polygon_3: autoDraw = False
86.9097 	EXP 	polygon_4: autoDraw = False
86.9097 	EXP 	text_pause: autoDraw = True
89.3966 	EXP 	New trial (rep=2, index=1): {'pic_name': 'pics/mental_singing.JPG', 'class_mi': 'mental_singing'}
89.4122 	EXP 	text_pause: autoDraw = False
89.4122 	EXP 	text_pause: autoDraw = False
89.4122 	EXP 	hor_line_precue: autoDraw = True
89.4122 	EXP 	ver_line_precue: autoDraw = True
91.4309 	EXP 	hor_line_precue: autoDraw = False
91.4309 	EXP 	ver_line_precue: autoDraw = False
91.4309 	EXP 	hor_line_precue: autoDraw = False
91.4309 	EXP 	ver_line_precue: autoDraw = False
91.4309 	EXP 	image_mi: image = 'pics/mental_singing.JPG'
91.4309 	EXP 	image_mi: autoDraw = True
91.4309 	EXP 	polygon: autoDraw = True
91.4309 	EXP 	polygon_2: autoDraw = True
91.4309 	EXP 	polygon_3: autoDraw = True
91.4309 	EXP 	polygon_4: autoDraw = True
95.9354 	EXP 	image_mi: autoDraw = False
95.9354 	EXP 	polygon: autoDraw = False
95.9354 	EXP 	polygon_2: autoDraw = False
95.9354 	EXP 	polygon_3: autoDraw = False
95.9354 	EXP 	polygon_4: autoDraw = False
95.9354 	EXP 	image_mi: autoDraw = False
95.9354 	EXP 	polygon: autoDraw = False
95.9354 	EXP 	polygon_2: autoDraw = False
95.9354 	EXP 	polygon_3: autoDraw = False
95.9354 	EXP 	polygon_4: autoDraw = False
95.9354 	EXP 	text_pause: autoDraw = True
98.4222 	EXP 	New trial (rep=2, index=2): {'pic_name': 'pics/mental_singing.JPG', 'class_mi': 'mental_singing'}
98.4378 	EXP 	text_pause: autoDraw = False
98.4378 	EXP 	text_pause: autoDraw = False
98.4378 	EXP 	hor_line_precue: autoDraw = True
98.4378 	EXP 	ver_line_precue: autoDraw = True
100.4566 	EXP 	hor_line_precue: autoDraw = False
100.4566 	EXP 	ver_line_precue: autoDraw = False
100.4566 	EXP 	hor_line_precue: autoDraw = False
100.4566 	EXP 	ver_line_precue: autoDraw = False
100.4566 	EXP 	image_mi: image = 'pics/mental_singing.JPG'
100.4566 	EXP 	image_mi: autoDraw = True
100.4566 	EXP 	polygon: autoDraw = True
100.4566 	EXP 	polygon_2: autoDraw = True
100.4566 	EXP 	polygon_3: autoDraw = True
100.4566 	EXP 	polygon_4: autoDraw = True
104.9610 	EXP 	image_mi: autoDraw = False
104.9610 	EXP 	polygon: autoDraw = False
104.9610 	EXP 	polygon_2: autoDraw = False
104.9610 	EXP 	polygon_3: autoDraw = False
104.9610 	EXP 	polygon_4: autoDraw = False
104.9610 	EXP 	image_mi: autoDraw = False
104.9610 	EXP 	polygon: autoDraw = False
104.9610 	EXP 	polygon_2: autoDraw = False
104.9610 	EXP 	polygon_3: autoDraw = False
104.9610 	EXP 	polygon_4: autoDraw = False
104.9610 	EXP 	text_pause: autoDraw = True
107.4478 	EXP 	New trial (rep=2, index=3): {'pic_name': 'pics/right_foot.JPG', 'class_mi': 'right_foot'}
107.4634 	EXP 	text_pause: autoDraw = False
107.4634 	EXP 	text_pause: autoDraw = False
107.4634 	EXP 	hor_line_precue: autoDraw = True
107.4634 	EXP 	ver_line_precue: autoDraw = True
109.4821 	EXP 	hor_line_precue: autoDraw = False
